,愉悦,悲伤,愤怒,惊讶,厌恶,蔑视,恐惧,害羞,绝望,愧疚
愉悦,1,0,0,0,0,0,0,0,0,0
悲伤,0,1,0,0,0,0,0,0,0,0
愤怒,0,0,1,0,0,0,0,0,0,0
惊讶,0,0,0,1,0,0,0,0,0,0
厌恶,0,0,0,0,1,0,0,0,0,0
蔑视,0,0,0,0,0,1,0,0,0,0
恐惧,0,0,0,0,0,0,1,0,0,0
害羞,0,0,0,0,0,0,0,1,0,0
绝望,0,0,0,0,0,0,0,0,1,0
愧疚,0,0,0,0,0,0,0,0,0,1
高兴,1,0,0,0,0,0,0,0,0,0
好受,0.87,0,0,0,0,0,0,0,0,0.13
开心,1,0,0,0,0,0,0,0,0,0
快活,1,0,0,0,0,0,0,0,0,0
快乐,1,0,0,0,0,0,0,0,0,0
庆幸,0.98,0,0,0,0,0,0.02,0,0,0
舒畅,1,0,0,0,0,0,0,0,0,0
舒坦,1,0,0,0,0,0,0,0,0,0
爽快,1,0,0,0,0,0,0,0,0,0
甜美,1,0,0,0,0,0,0,0,0,0
甜蜜,1,0,0,0,0,0,0,0,0,0
甜丝丝,1,0,0,0,0,0,0,0,0,0
喜出望外,1,0,0,0.2,0,0,0,0,0,0
畅快,1,0,0,0,0,0,0,0,0,0
喜悦,1,0,0,0,0,0,0,0,0,0
喜滋滋,1,0,0,0,0,0,0,0,0,0
心花怒放,1,0,0,0,0,0,0,0,0,0
心旷神怡,1,0,0,0,0,0,0,0,0,0
幸灾乐祸,1,0,0,0.05,0.2,0,0,0,0,0
愉快,0.98,0,0,0,0,0,0,0.02,0,0
愤慨,0,0.3,0.9,0,0.3,0,0,0,0,0.1
愤怒,0,0,1,0,0,0,0,0,0,0
恼火,0,0.2,0.6,0,0,0,0.1,0,0.2,0.5
气愤,0,0,1,0,0.3,0,0,0,0,0
悲哀,0,1,0,0,0,0,0,0,0.2,0.1
悲伤,0,1,0,0,0,0,0,0,0,0
沉痛,0,0.8,0,0,0,0,0,0,0,0.2
伤感,0,0.9,0,0,0,0,0,0,0,0.2
伤心,0,1,0,0,0,0,0,0,0.3,0
痛苦,0,0.7,0,0,0,0,0.2,0,0.2,0.2
惨然,0,0.7,0,0,0.1,0,0.2,0,0.4,0
痛心,0,0.9,0.2,0,0,0,0.1,0,0.3,0.3
心酸,0,0.7,0,0,0,0,0,0,0.3,0.3
胆怯,0,0.2,0.1,0,0.3,0,0.8,0.2,0,0
胆战心惊,0,0,0.1,0.3,0,0,0.6,0.2,0.3,0
发憷,0,0,0,0,0,0,0.9,0.2,0.1,0
害怕,0,0.1,0,0,0,0,0.8,0.3,0.1,0
惊吓,0,0,0.2,0.8,0,0,0.8,0,0.3,0
恐怖,0,0,0,0.3,0.1,0,0.8,0,0.4,0
恐惧,0,0,0,0,0,0,1,0,0,0
受惊,0,0.2,0.2,0.8,0,0,0.3,0,0.3,0
心有余悸,0.2,0,0,0,0.2,0,0.7,0,0,0.2
入迷,0.8,0,0,0,0,0,0,0.4,0,0
着迷,0.8,0,0,0,0,0,0,0.5,0,0
入神,0.8,0,0,0,0,0,0,0.3,0,0
